id;idproject;user_editor;user_revisor;status;status_val;obs;area_km2;geom
154;1;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((332488.646550982 7431901.9862726405,333188.646550982 7431901.9862726405,333188.646550982 7431501.9862726405,332488.646550982 7431501.9862726405,332488.646550982 7431901.9862726405)))
155;1;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((332488.646550982 7432301.9862726405,333188.646550982 7432301.9862726405,333188.646550982 7431901.9862726405,332488.646550982 7431901.9862726405,332488.646550982 7432301.9862726405)))
156;1;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((332488.646550982 7432701.9862726405,333188.646550982 7432701.9862726405,333188.646550982 7432301.9862726405,332488.646550982 7432301.9862726405,332488.646550982 7432701.9862726405)))
157;1;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((332488.646550982 7433101.9862726405,333188.646550982 7433101.9862726405,333188.646550982 7432701.9862726405,332488.646550982 7432701.9862726405,332488.646550982 7433101.9862726405)))
158;1;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((332488.646550982 7430301.9862726405,333188.646550982 7430301.9862726405,333188.646550982 7429901.9862726405,332488.646550982 7429901.9862726405,332488.646550982 7430301.9862726405)))
159;1;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((332488.646550982 7430701.9862726405,333188.646550982 7430701.9862726405,333188.646550982 7430301.9862726405,332488.646550982 7430301.9862726405,332488.646550982 7430701.9862726405)))
160;1;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((332488.646550982 7431101.9862726405,333188.646550982 7431101.9862726405,333188.646550982 7430701.9862726405,332488.646550982 7430701.9862726405,332488.646550982 7431101.9862726405)))
161;1;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((332488.646550982 7431501.9862726405,333188.646550982 7431501.9862726405,333188.646550982 7431101.9862726405,332488.646550982 7431101.9862726405,332488.646550982 7431501.9862726405)))
162;1;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((332488.646550982 7428701.9862726405,333188.646550982 7428701.9862726405,333188.646550982 7428301.9862726405,332488.646550982 7428301.9862726405,332488.646550982 7428701.9862726405)))
163;1;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((332488.646550982 7429101.9862726405,333188.646550982 7429101.9862726405,333188.646550982 7428701.9862726405,332488.646550982 7428701.9862726405,332488.646550982 7429101.9862726405)))
164;1;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((332488.646550982 7429501.9862726405,333188.646550982 7429501.9862726405,333188.646550982 7429101.9862726405,332488.646550982 7429101.9862726405,332488.646550982 7429501.9862726405)))
165;1;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((332488.646550982 7429901.9862726405,333188.646550982 7429901.9862726405,333188.646550982 7429501.9862726405,332488.646550982 7429501.9862726405,332488.646550982 7429901.9862726405)))
166;1;NULL;NULL;NULL;NULL;NULL;0.09223173589518144;MULTIPOLYGON(((333174.8590265161 7426911.8010386415,333143.47645201784 7426927.174456698,333051.98429119296 7426946.412337539,333014.94403967797 7426946.217054333,333005.01955628314 7426946.105367465,332970.5595909434 7426943.945538478,332952.5285947333 7426945.846786621,332942.9959128124 7426947.289948478,332927.80601868697 7426951.32737482,332922.1537939458 7426953.478705235,332917.4049407676 7426957.190685132,332911.20373316086 7426962.658286674,332897.2877594604 7426977.466149362,332892.6876565648 7426982.3611522205,332887.75975680805 7426987.6048642155,332856.10515776393 7427021.288249107,332818.37346450734 7427037.032498173,332792.5489156353 7427040.396236821,332784.7891966527 7427038.869067487,332778.87988371355 7427036.587505657,332770.04087570135 7427030.950467207,332768.174584678 7427029.573318242,332764.72280783823 7427027.026404606,332760.6927779239 7427024.052682113,332729.9547510857 7427001.371773178,332684.6768910866 7426978.490088997,332654.31201311457 7426967.072812237,332640.8352164042 7426964.37360118,332623.64762167097 7426964.068993132,332531.6393342509 7426965.467363088,332488.646550982 7426971.283137693,332488.646550982 7427101.9862726405,333188.646550982 7427101.9862726405,333188.646550982 7426901.656849854,333174.8590265161 7426911.8010386415)))
167;1;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((332488.646550982 7427501.9862726405,333188.646550982 7427501.9862726405,333188.646550982 7427101.9862726405,332488.646550982 7427101.9862726405,332488.646550982 7427501.9862726405)))
168;1;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((332488.646550982 7427901.9862726405,333188.646550982 7427901.9862726405,333188.646550982 7427501.9862726405,332488.646550982 7427501.9862726405,332488.646550982 7427901.9862726405)))
169;1;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((332488.646550982 7428301.9862726405,333188.646550982 7428301.9862726405,333188.646550982 7427901.9862726405,332488.646550982 7427901.9862726405,332488.646550982 7428301.9862726405)))
