id;area_km2;municipio;cod_estado;cod_class;class;obs;st_astext
20;4.991799516384499e-12;Taubate;SP;2;Solo Exposto;NULL;MULTIPOLYGON(((447907.7259984171 7442040.505766547,447915.4354783342 7442067.511351733,447977.75479341886 7442036.451972032,448066.1197243142 7442037.089332179,448089.91822436923 7442011.518249011,448080.4391409407 7441954.1494482495,448067.3525601084 7441877.430384649,448064.24208533915 7441859.924602278,448050.8166670354 7441780.202144353,448048.00263671967 7441762.674443923,448042.08353147394 7441723.844983494,448024.01523010794 7441728.100462079,448003.51328044414 7441732.161908416,447972.4169351771 7441738.930721723,447884.7180037092 7441749.805730699,447878.24500331416 7441756.744979324,447883.59320604696 7441811.019521769,447887.8232530515 7441855.372094054,447852.542165191 7441882.70456831,447872.29140891077 7441925.743187211,447880.5914968155 7441943.032643367,447893.42651769303 7441990.771820733,447907.7259984171 7442040.505766547)))
21;3.3144157467382426e-12;Taubate;SP;2;Solo Exposto;NULL;MULTIPOLYGON(((430723.63749965216 7455923.99858037,430727.4140996534 7455927.851380371,430757.15549965226 7455891.564180371,430761.90489965293 7455885.76948037,430776.833299654 7455868.382280374,430795.202899653 7455849.225180373,430804.51019965264 7455837.9334803745,430818.0007996537 7455822.226780374,430835.607299654 7455802.068280376,430850.57099965645 7455784.966680376,430859.2623996529 7455775.354380375,430868.646399654 7455764.327180376,430879.08109965496 7455751.963780377,430885.71689965436 7455744.254780376,430902.13859965536 7455725.196780376,430910.66802975396 7455715.732004169,430900.8035191643 7455709.657805633,430892.2125133595 7455704.22408005,430875.9426603207 7455694.706773948,430866.68609965383 7455689.676580381,430860.40339965414 7455685.748980379,430836.17219965433 7455670.793380381,430819.96529965376 7455660.90528038,430800.29759965313 7455648.982480381,430785.7973996528 7455640.068480382,430782.86999965436 7455638.40198038,430754.27419965353 7455673.346680379,430741.0527996533 7455691.617480379,430721.87159965385 7455715.590580378,430698.55619965313 7455744.442080377,430677.64509965334 7455770.296180375,430656.469099652 7455796.627880374,430636.5295996529 7455820.857180375,430630.6900996527 7455828.559580375,430630.6700996532 7455831.172180373,430633.2857996528 7455835.475280374,430635.2466996525 7455838.284180373,430637.79899965326 7455841.703880373,430641.9374996533 7455847.088780373,430644.29509965266 7455849.869780373,430648.7005996535 7455854.839980373,430653.67709965317 7455860.256280372,430656.3408996549 7455862.828680372,430661.3051996529 7455867.562980373,430669.5262996546 7455874.8732803725,430675.2797996541 7455879.731780372,430681.1448996536 7455884.696780372,430689.5179996544 7455891.646880371,430693.8013996526 7455895.239780372,430702.1191996534 7455903.270680373,430703.57369965303 7455905.071980371,430705.7714996537 7455907.244380372,430710.5339996531 7455911.7850803705,430715.5977996532 7455916.523980372,430719.4770996521 7455920.22158037,430723.63749965216 7455923.99858037)))
22;2.039011440071882e-13;Taubate;SP;1;Nova Edificação;NULL;MULTIPOLYGON(((449528.17198115436 7444843.851208819,449518.0539688936 7444867.427245587,449571.5752680272 7444923.6209595855,449591.8214801346 7444896.485646841,449528.17198115436 7444843.851208819)))
23;1.7597416705370644e-12;Taubate;SP;1;Nova Edificação;NULL;MULTIPOLYGON(((449119.35560853203 7452065.372808145,448906.94359765644 7451885.819176795,448894.1949340206 7451941.0909417495,448886.62404496095 7451980.689062705,448887.03301346966 7451996.114407185,448885.18239541014 7452025.947448779,448889.5855331019 7452049.82504111,449119.35560853203 7452065.372808145)))
24;1.8905730825981243e-12;Taubate;SP;2;Solo Exposto;NULL;MULTIPOLYGON(((451478.97596254386 7441581.851760082,451491.9035007227 7441586.262731206,451507.3774056337 7441593.109126395,451526.41805488005 7441593.170922134,451543.25813238585 7441593.953764436,451558.36680032336 7441601.527035345,451569.2273815404 7441603.018624093,451598.9749458401 7441612.702475777,451625.53150727745 7441628.201170398,451671.0744326352 7441660.630355412,451714.5532253919 7441577.032957067,451678.1057375539 7441561.745192427,451658.2200521439 7441559.132267732,451637.98285932734 7441552.149254866,451600.80051017733 7441538.800641475,451583.380412261 7441528.55000797,451564.38217292883 7441515.867092101,451517.82886844105 7441494.114134088,451495.9010072263 7441481.421644645,451474.1973256036 7441474.7977628065,451451.7633771291 7441542.685166867,451443.39984484116 7441563.168149351,451463.9955653453 7441572.337095602,451478.97596254386 7441581.851760082)))
26;5.530873971933288e-13;Taubate;SP;1;Nova Edificação;NULL;MULTIPOLYGON(((450329.51005968277 7452326.0975980535,450355.9386222613 7452308.881726705,450371.6410883025 7452299.3666503,450401.33466877806 7452281.125190683,450426.80435840675 7452273.016637292,450450.2058457836 7452273.677553617,450474.5999785308 7452282.097056067,450482.1603157453 7452267.433505135,450464.9895677858 7452250.026943643,450457.33617256593 7452238.6837862395,450440.7473305528 7452231.593554529,450413.6784439478 7452224.626484763,450393.3392353395 7452217.389558652,450383.59350358014 7452211.521926701,450370.23495002766 7452244.107934516,450347.6131655729 7452298.515098109,450340.0487802201 7452311.524296835,450329.51005968277 7452326.0975980535)))
27;8.540045684547698e-12;Taubate;SP;3;Supressão de Vergetação;NULL;MULTIPOLYGON(((448820.8798400754 7450936.896067107,448805.48818872235 7450937.936427478,448766.99597715656 7450944.36241339,448713.1027091795 7450954.560825568,448636.1236926962 7450965.772890983,448555.8377555267 7450979.70551708,448467.85766770196 7450993.611284578,448334.23472712404 7451015.556223701,448234.69996805454 7451033.246066928,448120.32459215337 7451051.430390099,448043.3426742438 7451063.18596009,447974.6099285805 7451073.330387737,447914.1377873119 7451078.585045928,447921.805253938 7451086.262160125,447936.05813919625 7451096.694460344,447947.03066700243 7451102.197193314,447964.067498399 7451102.256333895,447975.0552099172 7451103.387392523,447983.27229550655 7451111.066393876,447989.2910863636 7451118.7377685495,447991.9991578876 7451130.222910711,447987.0226397656 7451138.949079908,447972.7033093815 7451147.642834833,447960.29514489835 7451159.895238353,447946.80299972685 7451167.772155942,447939.0918356865 7451172.663575148,447936.5893233215 7451181.125112211,447937.9433445224 7451186.867709172,447942.30012664065 7451198.358637422,448333.79595153517 7451142.880411563,448330.08074553637 7451104.61513958,448786.42017910216 7451049.8953398,448852.39873006055 7451041.377208661,448850.8395021029 7451015.141813517,448850.3756926861 7450990.003117876,448846.02760756976 7450975.78036713,448833.4602349863 7450954.425632021,448820.8798400754 7450936.896067107)))
28;6.5489053651554505e-12;Taubate;SP;3;Supressão de Vergetação;NULL;MULTIPOLYGON(((452857.5455866562 7440627.64360518,452734.9922161405 7440815.733886864,452803.599394092 7440865.998586977,452848.87669983 7440895.747591068,452880.7201852539 7440914.175753923,452900.54099313484 7440923.402157638,452911.1769877622 7440922.730780726,452979.9638487854 7440691.032755457,453034.5065982072 7440536.379195727,453067.83543825604 7440416.34750527,453106.7410879815 7440246.423912805,452973.2526977224 7440455.367056222,452857.5455866562 7440627.64360518)))
29;4.274665626461322e-12;Taubate;SP;2;Solo Exposto;NULL;MULTIPOLYGON(((438981.6202412562 7447206.393415052,438983.3032120322 7447217.015128323,438996.6716722523 7447217.817516642,439009.6819933456 7447218.36806952,439034.20321609924 7447218.9654532345,439055.51561509754 7447219.1777429,439085.3053986202 7447219.634885209,439107.65822696977 7447220.14050621,439134.8194335301 7447220.997444655,439168.6148125663 7447221.798424926,439201.44988491834 7447222.678440683,439233.335234464 7447223.471652061,439267.63174889726 7447224.357611312,439266.5909034262 7447213.654031577,439264.35442131874 7447194.140159033,439262.42387685063 7447176.58974026,439261.77850596997 7447171.195972594,439261.3435501238 7447155.08595339,439260.8489327564 7447133.136457605,439260.6265914674 7447126.2772172205,439259.8437453715 7447113.667052072,439259.53296830645 7447108.042511874,439258.4104020312 7447096.923895926,439256.97428247717 7447080.863268629,439255.22916065104 7447058.741314355,439237.9889641971 7447056.319632469,439222.56577623653 7447054.266321062,439199.6748906522 7447051.17514081,439180.0337324825 7447048.441147629,439159.456530957 7447045.703346225,439130.93793415284 7447041.914685514,439111.2799562957 7447038.4341579415,439085.06709762866 7447033.565622032,439072.1452373616 7447031.771300493,439054.6092057865 7447029.1441263845,439037.9833136287 7447026.588277504,439023.3766674255 7447025.201812932,439011.1174036005 7447024.5713596605,439009.8089943378 7447039.329484705,439007.07528543007 7447055.179172823,439003.3428673298 7447070.474200381,439001.98279201286 7447076.732206071,439001.04939947516 7447080.626622913,438998.76993701514 7447087.335550655,438995.64528939425 7447096.76085831,438991.1565717189 7447113.425739025,438984.9952038153 7447135.424625771,438982.6069127962 7447148.382567491,438981.50909658364 7447172.194260024,438981.02782952297 7447187.978018712,438980.41222943994 7447195.771946048,438981.6202412562 7447206.393415052)))
30;1.040431262688153e-13;Taubate;SP;1;Nova Edificação;NULL;MULTIPOLYGON(((439902.0614396518 7445131.465270684,439893.4892384283 7445145.633489224,439885.18949190434 7445160.349076596,439872.2047918694 7445178.869628983,439859.48044788337 7445200.941930646,439861.1142632787 7445204.499184543,439883.7205739105 7445184.105380584,439896.9437349385 7445174.599016186,439907.41896417574 7445165.35473301,439911.7705787259 7445162.242205641,439916.40236314945 7445157.765160527,439902.0614396518 7445131.465270684)))
