id;atribuicao;status;validacao;status_val;obs;area_km2;st_astext
3116;NULL;NULL;NULL;NULL;NULL;0.01082068360823683;MULTIPOLYGON(((460327.6510735581 7453518.364167549,460399.1711010752 7453548.911358075,460504.6249300545 7453553.851472773,460588.646550982 7453525.781385067,460588.646550982 7453501.9862726405,460306.9512008146 7453501.9862726405,460327.6510735581 7453518.364167549)))
3117;NULL;NULL;NULL;NULL;NULL;0.1012838639052805;MULTIPOLYGON(((460161.04974300513 7438175.015033001,460154.777634579 7438140.22518385,460116.2311355395 7437926.411394829,460111.827865895 7437901.9862726405,459888.646550982 7437901.9862726405,459888.646550982 7438301.9862726405,460145.9615211975 7438301.9862726405,460161.04974300513 7438175.015033001)))
3118;NULL;NULL;NULL;NULL;NULL;0.1097396791017283;MULTIPOLYGON(((460135.0241219938 7438498.1998193255,460138.3345300534 7438366.169350848,460145.9615211975 7438301.9862726405,459888.646550982 7438301.9862726405,459888.646550982 7438701.9862726405,460238.1995696115 7438701.9862726405,460135.0241219938 7438498.1998193255)))
3119;NULL;NULL;NULL;NULL;NULL;0.21547603112548755;MULTIPOLYGON(((460366.3051879825 7438883.977150222,460307.1597142425 7438838.1925467,460238.1995696115 7438701.9862726405,459888.646550982 7438701.9862726405,459888.646550982 7439101.9862726405,460588.646550982 7439101.9862726405,460588.646550982 7438973.510704821,460366.3051879825 7438883.977150222)))
3120;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((459888.646550982 7439501.9862726405,460588.646550982 7439501.9862726405,460588.646550982 7439101.9862726405,459888.646550982 7439101.9862726405,459888.646550982 7439501.9862726405)))
3121;analista 1;andamento;NULL;NULL;NULL;0.05774614374125499;MULTIPOLYGON(((460080.7651643998 7437316.971948873,460038.37694938213 7437249.793094415,459969.9669706059 7437211.274322102,459902.59199244063 7437202.777486978,459888.646550982 7437196.74570366,459888.646550982 7437501.9862726405,460143.7035547725 7437501.9862726405,460080.7651643998 7437316.971948873)))
3122;NULL;NULL;NULL;NULL;NULL;0.10685336097349589;MULTIPOLYGON(((460105.587081164 7437867.368376869,460108.8290291513 7437829.77201676,460158.7414053951 7437754.4463498555,460194.16541107994 7437700.9852992995,460198.52959494496 7437663.060907174,460178.71459762985 7437604.905085471,460143.7035547725 7437501.9862726405,459888.646550982 7437501.9862726405,459888.646550982 7437901.9862726405,460111.827865895 7437901.9862726405,460105.587081164 7437867.368376869)))
3123;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((459888.646550982 7444701.9862726405,460588.646550982 7444701.9862726405,460588.646550982 7444301.9862726405,459888.646550982 7444301.9862726405,459888.646550982 7444701.9862726405)))
3124;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((459888.646550982 7445101.9862726405,460588.646550982 7445101.9862726405,460588.646550982 7444701.9862726405,459888.646550982 7444701.9862726405,459888.646550982 7445101.9862726405)))
3125;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((459888.646550982 7445501.9862726405,460588.646550982 7445501.9862726405,460588.646550982 7445101.9862726405,459888.646550982 7445101.9862726405,459888.646550982 7445501.9862726405)))
3126;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((459888.646550982 7445901.9862726405,460588.646550982 7445901.9862726405,460588.646550982 7445501.9862726405,459888.646550982 7445501.9862726405,459888.646550982 7445901.9862726405)))
3127;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((459888.646550982 7443101.9862726405,460588.646550982 7443101.9862726405,460588.646550982 7442701.9862726405,459888.646550982 7442701.9862726405,459888.646550982 7443101.9862726405)))
3128;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((459888.646550982 7443501.9862726405,460588.646550982 7443501.9862726405,460588.646550982 7443101.9862726405,459888.646550982 7443101.9862726405,459888.646550982 7443501.9862726405)))
3129;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((459888.646550982 7443901.9862726405,460588.646550982 7443901.9862726405,460588.646550982 7443501.9862726405,459888.646550982 7443501.9862726405,459888.646550982 7443901.9862726405)))
3130;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((459888.646550982 7444301.9862726405,460588.646550982 7444301.9862726405,460588.646550982 7443901.9862726405,459888.646550982 7443901.9862726405,459888.646550982 7444301.9862726405)))
3131;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((459888.646550982 7441501.9862726405,460588.646550982 7441501.9862726405,460588.646550982 7441101.9862726405,459888.646550982 7441101.9862726405,459888.646550982 7441501.9862726405)))
3132;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((459888.646550982 7441901.9862726405,460588.646550982 7441901.9862726405,460588.646550982 7441501.9862726405,459888.646550982 7441501.9862726405,459888.646550982 7441901.9862726405)))
3133;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((459888.646550982 7442301.9862726405,460588.646550982 7442301.9862726405,460588.646550982 7441901.9862726405,459888.646550982 7441901.9862726405,459888.646550982 7442301.9862726405)))
3134;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((459888.646550982 7442701.9862726405,460588.646550982 7442701.9862726405,460588.646550982 7442301.9862726405,459888.646550982 7442301.9862726405,459888.646550982 7442701.9862726405)))
3135;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((459888.646550982 7439901.9862726405,460588.646550982 7439901.9862726405,460588.646550982 7439501.9862726405,459888.646550982 7439501.9862726405,459888.646550982 7439901.9862726405)))
3136;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((459888.646550982 7440301.9862726405,460588.646550982 7440301.9862726405,460588.646550982 7439901.9862726405,459888.646550982 7439901.9862726405,459888.646550982 7440301.9862726405)))
3137;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((459888.646550982 7440701.9862726405,460588.646550982 7440701.9862726405,460588.646550982 7440301.9862726405,459888.646550982 7440301.9862726405,459888.646550982 7440701.9862726405)))
3138;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((459888.646550982 7441101.9862726405,460588.646550982 7441101.9862726405,460588.646550982 7440701.9862726405,459888.646550982 7440701.9862726405,459888.646550982 7441101.9862726405)))
3139;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((459888.646550982 7451101.9862726405,460588.646550982 7451101.9862726405,460588.646550982 7450701.9862726405,459888.646550982 7450701.9862726405,459888.646550982 7451101.9862726405)))
3140;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((459888.646550982 7451501.9862726405,460588.646550982 7451501.9862726405,460588.646550982 7451101.9862726405,459888.646550982 7451101.9862726405,459888.646550982 7451501.9862726405)))
3141;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((459888.646550982 7451901.9862726405,460588.646550982 7451901.9862726405,460588.646550982 7451501.9862726405,459888.646550982 7451501.9862726405,459888.646550982 7451901.9862726405)))
3142;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((459888.646550982 7452301.9862726405,460588.646550982 7452301.9862726405,460588.646550982 7451901.9862726405,459888.646550982 7451901.9862726405,459888.646550982 7452301.9862726405)))
3143;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((459888.646550982 7449501.9862726405,460588.646550982 7449501.9862726405,460588.646550982 7449101.9862726405,459888.646550982 7449101.9862726405,459888.646550982 7449501.9862726405)))
3144;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((459888.646550982 7449901.9862726405,460588.646550982 7449901.9862726405,460588.646550982 7449501.9862726405,459888.646550982 7449501.9862726405,459888.646550982 7449901.9862726405)))
3145;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((459888.646550982 7450301.9862726405,460588.646550982 7450301.9862726405,460588.646550982 7449901.9862726405,459888.646550982 7449901.9862726405,459888.646550982 7450301.9862726405)))
3146;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((459888.646550982 7450701.9862726405,460588.646550982 7450701.9862726405,460588.646550982 7450301.9862726405,459888.646550982 7450301.9862726405,459888.646550982 7450701.9862726405)))
