id;area_km2;municipio;cod_estado;cod_class;class;obs;st_astext
972;4.884262500538585e-13;Cruzeiro;SP;1;Nova Edificação;NULL;MULTIPOLYGON(((495225.3008030381 7511142.830821205,495192.4658195062 7511164.763735032,495188.8530612908 7511249.51824636,495271.3538518656 7511197.154344574,495276.3240978124 7511182.069932241,495258.1245408483 7511157.10399897,495225.3008030381 7511142.830821205)))
973;1.7666832458262227e-12;Cruzeiro;SP;2;Solo Exposto;NULL;MULTIPOLYGON(((502273.91694410035 7501481.28772504,502203.9032613984 7501567.371370248,502291.5958080721 7501712.094511157,502383.6675365641 7501640.260545284,502273.91694410035 7501481.28772504)))
976;2.7529371146953423e-12;Cruzeiro;SP;2;Solo Exposto;NULL;MULTIPOLYGON(((497463.56871755567 7505752.200405022,497334.77452587074 7505807.291738743,497357.09277180117 7505920.538417133,497392.9370141229 7505957.835404521,497415.54039041064 7506017.065944758,497529.16572228563 7505978.696897285,497536.8909109421 7505956.762325839,497529.17013322085 7505951.277137522,497529.1720740595 7505939.2124585565,497516.7019404466 7505907.529861462,497499.39766966406 7505883.271521916,497483.9601732399 7505848.17193144,497467.69714822044 7505802.378692598,497463.56871755567 7505752.200405022)))
977;2.73466544711791e-12;Cruzeiro;SP;2;Solo Exposto;NULL;MULTIPOLYGON(((503119.42572129285 7505342.303307433,503094.6132949684 7505374.799545054,503042.78385977435 7505446.784381049,502965.0420024341 7505566.620175246,502974.41944667394 7505573.747318699,502988.20874204976 7505578.680075303,503003.6514677134 7505577.580299441,503027.9181865644 7505573.736863451,503042.2575118342 7505570.992122546,503054.3905901028 7505567.699426472,503069.28187653155 7505567.1480762325,503078.1050881828 7505560.565737257,503087.48015573394 7505555.628427335,503095.752704857 7505553.433238881,503105.12876034196 7505553.431345893,503115.0555698406 7505549.590670941,503126.0851042909 7505544.104624825,503135.4607062346 7505541.909192,503145.9395945617 7505540.810288288,503156.41836868355 7505539.162997309,503167.4488988883 7505538.6123459,503175.16978201084 7505535.868850699,503181.7873712313 7505532.028820773,503239.1280668964 7505443.727909207,503170.7303504263 7505404.259101725,503146.46045154374 7505391.103088685,503119.42572129285 7505342.303307433)))
978;6.6043679830337095e-12;Cruzeiro;SP;3;Supressão de Vergetação;NULL;MULTIPOLYGON(((496973.7156713374 7502179.47048486,496939.5156778037 7502205.840477729,496923.8956678102 7502207.210480437,496904.96566518693 7502202.99049062,496845.54568563466 7502209.590472586,496852.28566765896 7502275.00047671,496841.70567920455 7502297.210494996,496846.8756891551 7502321.900499238,496842.5256819366 7502336.250494709,496829.2456638662 7502340.120475724,496786.6056939381 7502381.030489933,496793.0456958269 7502410.230479345,496794.98568591033 7502424.900480498,496800.4956781157 7502437.000481967,496802.9356754603 7502463.050479187,496783.3056752082 7502476.450490991,496778.3256794835 7502487.65047555,496757.5356868961 7502503.120494917,496740.0756773737 7502523.720475422,496734.05568169383 7502547.000501458,496729.9256577161 7502573.920452571,496736.2256689762 7502598.530474346,496833.9856682792 7502563.360499313,496888.27568372706 7502541.960479137,497002.3656857474 7502476.830492856,497004.86567225785 7502472.660463301,497017.25567474135 7502464.180491998,497028.80567253893 7502455.730481262,497041.75568841485 7502445.360468319,497048.14567472704 7502441.570462056,497052.825669152 7502437.390481826,497056.6456750223 7502431.650472623,497061.545670557 7502422.390478241,497067.3156779987 7502386.570460473,497067.3056806284 7502380.020480931,497065.72567360214 7502370.97048509,497063.80567935196 7502363.29047708,497044.3456725881 7502324.680461143,497013.16567414155 7502273.6204786,497010.80568016705 7502269.050478676,496999.3356713474 7502236.230483789,496991.175663296 7502202.510479486,496988.0556706581 7502195.29046599,496981.99565997615 7502186.960473562,496979.1856807097 7502181.590492588,496973.7156713374 7502179.47048486)))
979;1.0761066629503316e-12;Cruzeiro;SP;1;Nova Edificação;NULL;MULTIPOLYGON(((497406.77216058347 7501825.506170068,497397.3679501317 7502004.783036469,497462.4325746775 7502011.921263961,497475.6967237515 7501827.162420614,497406.77216058347 7501825.506170068)))
980;3.928468434638113e-12;Cruzeiro;SP;2;Solo Exposto;NULL;MULTIPOLYGON(((495688.2969389835 7504914.837853929,495672.8503369736 7504930.187546637,495655.1971949005 7504947.181692838,495628.16488163 7504976.237094112,495614.37018912233 7505000.361037195,495608.8475320875 7505026.680822261,495608.2897439726 7505048.61516649,495609.9359775581 7505077.6789025,495611.0325818566 7505100.162156593,495603.3060123459 7505118.804360383,495659.0047462453 7505134.72281568,495690.1555679628 7505170.10123967,495708.0790913335 7505173.122280551,495747.7866423263 7505179.713738477,495784.18526050786 7505185.755820442,495817.82376928395 7505201.119325982,495846.5004397251 7505209.901006181,495861.3906033703 7505213.195239199,495872.97297618055 7505211.553250524,495880.14539047756 7505201.684543002,495876.2890208623 7505185.780833339,495865.8150224674 7505167.681889725,495855.8933070596 7505146.841276692,495849.28205707716 7505121.066289989,495841.0162805577 7505095.290895075,495787.5348492337 7505038.246499531,495777.06588291016 7505002.600095328,495696.567280299 7504923.065550384,495688.2969389835 7504914.837853929)))
981;3.396177853877467e-12;Cruzeiro;SP;2;Solo Exposto;NULL;MULTIPOLYGON(((498439.00820079306 7501651.331241907,498370.0750601837 7501736.850181593,498598.34114954993 7501864.066304224,498606.06184656534 7501852.005505741,498614.33378194825 7501841.58951109,498622.6052135231 7501836.656011485,498632.53015175037 7501839.398146959,498640.80123605655 7501838.302383601,498646.31585635955 7501831.175630819,498654.0356326931 7501828.983314024,498662.85849109135 7501823.501596231,498668.3725720008 7501822.405578431,498674.43814541097 7501820.213108838,498683.8123426435 7501815.279678336,498694.84044808184 7501813.635875437,498702.00876408507 7501811.991738493,498706.97227225016 7501801.027192218,498711.3842377009 7501791.707348948,498714.6933116949 7501783.483912492,498723.516396089 7501774.712692622,498729.0307278115 7501770.327174103,498735.6479850187 7501764.297005375,498739.5081206856 7501759.911349526,498747.2283853962 7501751.140038637,498655.15107887954 7501684.794574037,498654.0484361223 7501683.1497454,498637.50331720046 7501720.4289155975,498563.3417109106 7501710.27943678,498489.1802066003 7501699.03346598,498475.9484379548 7501682.036586352,498466.5760100432 7501669.426047366,498439.00820079306 7501651.331241907)))
982;4.704811776317167e-13;Cruzeiro;SP;1;Nova Edificação;NULL;MULTIPOLYGON(((498926.0783396799 7506807.356458552,498964.68016471254 7506935.1426325105,498998.8793705247 7506918.143596677,498986.75093994907 7506821.619633019,498926.0783396799 7506807.356458552)))
983;2.1090918278776972e-12;Cruzeiro;SP;2;Solo Exposto;NULL;MULTIPOLYGON(((501080.59315745457 7503153.405881662,501046.43062453455 7503154.905576404,500926.2391980753 7503288.278428739,501020.34901902033 7503360.813664407,501170.51408949815 7503171.392220594,501080.59315745457 7503153.405881662)))
