id;atribuicao;status;validacao;status_val;obs;area_km2;st_astext
24;analista 2;finalizado;NULL;NULL;NULL;0.11620602658101878;MULTIPOLYGON(((353103.48550214083 7449803.219270118,353074.8878529219 7449729.476340469,353069.64047688065 7449637.772466168,353034.24859177734 7449501.9862726405,352788.646550982 7449501.9862726405,352788.646550982 7449901.9862726405,353127.5128132879 7449901.9862726405,353103.48550214083 7449803.219270118)))
25;analista 2;finalizado;NULL;NULL;NULL;0.15148675349366836;MULTIPOLYGON(((353154.2169771674 7450137.846920408,353153.3874249081 7450115.62176062,353184.78891720343 7450069.515592614,353185.63416288083 7450044.509225887,353170.6985071793 7449996.064410817,353141.4244167367 7449959.171505083,353127.5128132879 7449901.9862726405,352788.646550982 7449901.9862726405,352788.646550982 7450301.9862726405,353199.3996872145 7450301.9862726405,353154.2169771674 7450137.846920408)))
26;analista 2;finalizado;NULL;NULL;NULL;0.18150264643813083;MULTIPOLYGON(((353233.56380378874 7450426.097375277,353199.3996872145 7450301.9862726405,352788.646550982 7450301.9862726405,352788.646550982 7450701.9862726405,353274.564499785 7450701.9862726405,353233.56380378874 7450426.097375277)))
27;analista 2;finalizado;NULL;NULL;NULL;0.15903568746288949;MULTIPOLYGON(((353197.5495598357 7447782.548454434,353193.4135793168 7447765.6097722985,353171.49605320557 7447675.847233253,353182.2971616107 7447639.754253648,353190.31473200675 7447612.96233692,353180.5679901632 7447561.652118977,353147.25777472847 7447501.9862726405,352788.646550982 7447501.9862726405,352788.646550982 7447901.9862726405,353206.58112361626 7447901.9862726405,353197.5495598357 7447782.548454434)))
28;analista 2;finalizado;NULL;NULL;NULL;0.1775711181689684;MULTIPOLYGON(((353289.94815604016 7448262.7218688335,353216.04924929654 7448103.571302512,353197.65812283545 7448012.255275298,353206.969609777 7447907.1238037,353206.58112361626 7447901.9862726405,352788.646550982 7447901.9862726405,352788.646550982 7448301.9862726405,353298.0615652289 7448301.9862726405,353289.94815604016 7448262.7218688335)))
29;analista 2;finalizado;NULL;NULL;NULL;0.1931468114873344;MULTIPOLYGON(((353311.07084681117 7448364.94398541,353298.0615652289 7448301.9862726405,352788.646550982 7448301.9862726405,352788.646550982 7448701.9862726405,353219.60820178594 7448701.9862726405,353311.07084681117 7448364.94398541)))
30;analista 2;finalizado;NULL;NULL;NULL;0.14449005827415243;MULTIPOLYGON(((353043.9115292869 7449099.832857985,353071.4981932175 7449049.01896719,353140.53905928525 7448961.266617775,353161.7133335035 7448915.330406953,353219.60820178594 7448701.9862726405,352788.646550982 7448701.9862726405,352788.646550982 7449101.9862726405,353043.916771323 7449101.9862726405,353043.9115292869 7449099.832857985)))
31;analista 2;finalizado;NULL;NULL;NULL;0.04995385361179068;MULTIPOLYGON(((353009.13121476345 7447100.994835604,352918.94835077063 7446891.02447249,352876.4390542991 7446815.5314647285,352788.646550982 7446709.02634724,352788.646550982 7447101.9862726405,353009.94515604794 7447101.9862726405,353009.13121476345 7447100.994835604)))
32;analista 2;finalizado;NULL;NULL;NULL;0.126382491707895;MULTIPOLYGON(((353115.0985556607 7447444.38211133,353113.4409231742 7447369.205156599,353132.6604545832 7447319.271681972,353131.7709495027 7447262.438306875,353120.44843286125 7447236.5869414825,353009.94515604794 7447101.9862726405,352788.646550982 7447101.9862726405,352788.646550982 7447501.9862726405,353147.25777472847 7447501.9862726405,353115.0985556607 7447444.38211133)))
33;NULL;NULL;NULL;NULL;NULL;0.27877272591625596;MULTIPOLYGON(((349279.50803663535 7444395.1465965435,349262.8950547398 7444385.177374711,349260.84192242206 7444371.427173581,349288.646550982 7444318.55933745,349288.646550982 7444301.9862726405,348588.646550982 7444301.9862726405,348588.646550982 7444701.9862726405,349288.646550982 7444701.9862726405,349288.646550982 7444384.241528368,349279.50803663535 7444395.1465965435)))
34;NULL;NULL;NULL;NULL;NULL;0.28;MULTIPOLYGON(((348588.646550982 7445101.9862726405,349288.646550982 7445101.9862726405,349288.646550982 7444701.9862726405,348588.646550982 7444701.9862726405,348588.646550982 7445101.9862726405)))
