id;atribuicao;status;validacao;status_val;obs;area_km2;st_astext
1946;analista 3;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((506788.646550982 7501901.9862726405,507488.646550982 7501901.9862726405,507488.646550982 7501501.9862726405,506788.646550982 7501501.9862726405,506788.646550982 7501901.9862726405)))
1947;analista 3;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((506788.646550982 7499101.9862726405,507488.646550982 7499101.9862726405,507488.646550982 7498701.9862726405,506788.646550982 7498701.9862726405,506788.646550982 7499101.9862726405)))
1948;analista 3;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((506788.646550982 7499501.9862726405,507488.646550982 7499501.9862726405,507488.646550982 7499101.9862726405,506788.646550982 7499101.9862726405,506788.646550982 7499501.9862726405)))
1949;analista 3;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((506788.646550982 7499901.9862726405,507488.646550982 7499901.9862726405,507488.646550982 7499501.9862726405,506788.646550982 7499501.9862726405,506788.646550982 7499901.9862726405)))
1950;analista 3;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((506788.646550982 7500301.9862726405,507488.646550982 7500301.9862726405,507488.646550982 7499901.9862726405,506788.646550982 7499901.9862726405,506788.646550982 7500301.9862726405)))
1951;analista 3;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((506788.646550982 7497501.9862726405,507488.646550982 7497501.9862726405,507488.646550982 7497101.9862726405,506788.646550982 7497101.9862726405,506788.646550982 7497501.9862726405)))
1952;analista 3;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((506788.646550982 7497901.9862726405,507488.646550982 7497901.9862726405,507488.646550982 7497501.9862726405,506788.646550982 7497501.9862726405,506788.646550982 7497901.9862726405)))
1953;analista 3;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((506788.646550982 7498301.9862726405,507488.646550982 7498301.9862726405,507488.646550982 7497901.9862726405,506788.646550982 7497901.9862726405,506788.646550982 7498301.9862726405)))
1954;analista 3;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((506788.646550982 7498701.9862726405,507488.646550982 7498701.9862726405,507488.646550982 7498301.9862726405,506788.646550982 7498301.9862726405,506788.646550982 7498701.9862726405)))
1955;analista 3;finalizado;NULL;NULL;NULL;0.28;MULTIPOLYGON(((506788.646550982 7508701.9862726405,507488.646550982 7508701.9862726405,507488.646550982 7508301.9862726405,506788.646550982 7508301.9862726405,506788.646550982 7508701.9862726405)))
